              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp    repl    feas        seed
  del-n5000-k25-s33654   5000   25  1800.0008   762.4783    0.6073   477.5632  0.0000  276.8330   13460    6879  3563839523
  del-n5000-k25-s33654   5000   25  1800.0023   682.7857    1.6430   421.2751  0.0000  283.7183   13485    6937  4022687297
  del-n5000-k25-s33654   5000   25  1800.0009  1585.0813    2.3568   462.5801  0.0000  278.8916   13463    6791  1598405856
  del-n5000-k25-s33654   5000   25  1800.0009  1047.0622    1.8882   409.6565  0.0000  290.4017   13409    6803  1107628621
  del-n5000-k25-s33654   5000   25  1800.0158    12.5376    1.4475   452.7029  0.0000  284.4519   13428    6847  2986272888
  del-n5000-k25-s33654   5000   25  1800.0014  1103.4573    3.2593   379.9198  0.0000  283.1882   13428    6881  2400542728
  del-n5000-k50-s49035   5000   50  1800.0009  1573.0226    8.8763   302.7525  0.0000  210.2905   13300     444  3905935193
  del-n5000-k50-s49035   5000   50  1800.0227     3.6576    9.4749   284.5152  0.0000  211.4813   13265     455  3185201669
  del-n5000-k50-s49035   5000   50  1800.0010  1172.2518    3.9733   351.3417  0.0000  212.8409   13295     431  2360250724
  del-n5000-k50-s49035   5000   50  1800.0009   333.5561    3.0448   319.5687  0.0000  212.3137   13228     435  2260485835
  del-n5000-k50-s49035   5000   50  1800.0374   703.4991    3.6484   947.7911  0.0000  207.9223   13277     468  4230992764
  del-n5000-k50-s49035   5000   50  1800.0058  1376.9460    5.1675   351.5666  0.0000  210.9691   13272     411   721619792
  del-n5000-k50-s49035   5000   50  1800.0009  1415.1064   10.3466   485.5102  0.0000  205.2138   13223     429  2114270318
  del-n5000-k50-s49035   5000   50  1800.0008  1778.3908    7.4853   340.9072  0.0000  211.2623   13279     455  1267454126
  del-n5000-k50-s49035   5000   50  1800.0009  1548.8941    7.2862   603.3056  0.0000  219.5877   13181     412  1090590434
  del-n5000-k50-s49035   5000   50  1800.0008  1237.7723    7.9072   371.1102  0.0000  208.0614   13190     409  2743618005
  del-n5000-k80-s37325   5000   80  1800.0010  1478.1439   19.3649   264.0335  0.0024  667.5865   13480       0   360005594
  del-n5000-k80-s37325   5000   80  1800.0010   479.8248   20.3134   387.6188  0.0033  231.3420   13439       0  3222197024
  del-n5000-k80-s37325   5000   80  1800.0004  1169.3245   19.8758   440.7349  0.0008  613.2383   13463       0  1820550904
  del-n5000-k80-s37325   5000   80  1800.0175  1730.7547   15.8978   362.8478  0.0009  235.4505   13431       0  1654116101
  del-n5000-k80-s37325   5000   80  1800.0009    65.5549   16.1917   968.7927  0.0044  819.1040   13468       0  1365692113
  del-n5000-k80-s37325   5000   80  1800.0255  1194.9680   14.2795   373.9487  0.0013  660.8433   13461       0  1704972303
  del-n5000-k80-s37325   5000   80  1800.0002  1532.7670   10.3034   612.5789  0.0012  510.0337   13409       0  2493593734
  del-n5000-k80-s37325   5000   80  1800.0010   233.7155   13.8295   452.9827  0.0040  290.9346   13475       0  2102443958
  del-n5000-k80-s37325   5000   80  1800.0010   666.7861   14.9540   591.9787  0.0037  563.4114   13437       0  1062282684
  del-n5000-k80-s37325   5000   80  1800.0185  1692.4063   14.1093   478.6222  0.0050  310.0461   13464       0  1500805860
  del-n1000-k10-s20090   1000   10  1800.0019   424.6455    1.0382   767.9720  0.0000  407.8059  114761   91230  1477672787
  del-n1000-k10-s20090   1000   10  1800.0062  1665.0209    0.9384   767.9720  0.0000  407.8059  115061   91816  2715009675
  del-n1000-k10-s20090   1000   10  1800.0058  1266.0391    1.3347   740.6497  0.0000  407.8059  115177   91728  3796122352
  del-n1000-k10-s20090   1000   10  1800.0058   292.4017    1.1101   623.4667  0.0000  407.8059  115274   91710  3330569571
  del-n1000-k10-s20090   1000   10  1800.0020    60.0666    0.7092   599.3125  0.0000  411.0753  115127   91401  3616001393
  del-n1000-k10-s20090   1000   10  1800.0020   558.8304    1.2184   705.0627  0.0000  411.0753  114811   91260  1114591078
  del-n1000-k10-s20090   1000   10  1800.0026   473.2754    0.6769   709.7162  0.0000  409.8581  115153   91759  1310652402
  del-n1000-k10-s20090   1000   10  1800.0018    94.9920    1.6440   709.7162  0.0000  407.8059  115062   91695  4178074756
  del-n1000-k10-s20090   1000   10  1800.0021    22.9204    1.7506   650.6089  0.0000  407.8059  115143   91800  1517773805
  del-n1000-k10-s20090   1000   10  1800.0019  1777.9456    0.7125   639.2627  0.0000  407.7668  114974   91593  2470049942
  del-n1000-k10-s21163   1000   10  1800.0040   156.5570    0.4419   615.5251  0.0000  402.4478  119742  105433  1768465364
  del-n1000-k10-s21163   1000   10  1800.0032   543.4673    0.4276   760.0466  0.0000  402.4478  119638  105508  3043505176
  del-n1000-k10-s21163   1000   10  1800.0022    84.3640    0.4172   584.4526  0.0000  402.4478  119918  106015  1095639166
  del-n1000-k10-s21163   1000   10  1800.0018    72.3944    0.4143   499.6004  0.0000  402.4478  119689  105309   626585535
  del-n1000-k10-s21163   1000   10  1800.0034   116.2907    0.8438   492.1437  0.0000  402.4478  120015  105940  2005379140
  del-n1000-k10-s21163   1000   10  1800.0017    32.3870    0.6020   473.9528  0.0000  402.4478  120009  105890  4262627613
  del-n1000-k10-s21163   1000   10  1800.0048   127.2783    0.7075   526.6676  0.0000  402.4478  120339  106305  2205851033
  del-n1000-k10-s21163   1000   10  1800.0056   108.7620    0.5840   526.6676  0.0000  402.4478  119853  105722  2100957028
  del-n1000-k10-s21163   1000   10  1800.0058    24.1080    0.3449   526.6676  0.0000  402.4478  120173  105759  2179351044
  del-n1000-k10-s21163   1000   10  1800.0017   166.7653    0.3540   611.5260  0.0000  402.4478  120192  106058  4276771065
   del-n1000-k10-s8083   1000   10  1800.0072  1716.2849    0.8319   729.2078  0.0000  408.8385  117311  105596  2900547541
   del-n1000-k10-s8083   1000   10  1800.0018  1742.8118    0.8959   690.2646  0.0000  406.2834  117725  105873    70464348
   del-n1000-k10-s8083   1000   10  1800.0031   816.7845    0.1613   599.0491  0.0000  408.8385  117665  105633   522499364
   del-n1000-k10-s8083   1000   10  1800.0017  1366.7443    0.3459   650.7104  0.0000  407.2945  117810  105869  4131586671
   del-n1000-k10-s8083   1000   10  1800.0018   211.8012    1.6046   659.3329  0.0000  408.8385  116969  105070   614017108
   del-n1000-k10-s8083   1000   10  1800.0018  1038.3606    1.1626   694.3439  0.0000  408.8385  117762  106125  2574168245
   del-n1000-k10-s8083   1000   10  1800.0017   486.9101    0.9345   821.1080  0.0000  408.8385  117809  105927  1203151038
   del-n1000-k10-s8083   1000   10  1800.0017    20.1349    0.1787   679.4317  0.0000  412.5190  117791  105938  1758297207
   del-n1000-k10-s8083   1000   10  1800.0043   919.8616    0.8112   589.5019  0.0000  408.1643  117673  105918   464152362
   del-n1000-k10-s8083   1000   10  1800.0018   195.1541    0.0269   584.7107  0.0000  408.8385  117805  105921  1392603494
   del-n1000-k16-s3985   1000   16  1800.0017   782.8139    1.8664   454.4640  0.0000  334.9838  110271   22027  2059649346
   del-n1000-k16-s3985   1000   16  1800.0028   537.7930    2.4739   435.2728  0.0000  333.2364  110321   21882  3791330453
   del-n1000-k16-s3985   1000   16  1800.0018  1680.8566    2.1871   738.7962  0.0000  324.1337  110108   21799   952329490
   del-n1000-k16-s3985   1000   16  1800.0018  1447.9824    3.3009   680.6559  0.0000  331.4291  110583   22125  2357530265
   del-n1000-k16-s3985   1000   16  1800.0017    72.7139    1.0479   631.9484  0.0000  335.1929  109872   21926  1933767947
   del-n1000-k16-s3985   1000   16  1800.0017   326.9260    0.9994   567.4574  0.0000  329.6742  110327   21958  3430878978
   del-n1000-k16-s3985   1000   16  1800.0018   697.0245    1.3931   474.8926  0.0000  336.5813  110681   21856  2005313730
   del-n1000-k16-s3985   1000   16  1800.0018   912.6904    2.8045   583.0645  0.0000  340.3405  110621   21874  3302078748
   del-n1000-k16-s3985   1000   16  1800.0016   142.7057    2.9603   546.9519  0.0000  341.5384  110632   22338  3678975416
   del-n1000-k16-s3985   1000   16  1800.0017  1706.7940    4.4237   563.0593  0.0000  338.0901  110525   22036  2635347075
  del-n1000-k16-s61071   1000   16  1800.0047   744.3838    1.0089   772.4432  0.0000  338.8878  115288   15003  1061796145
  del-n1000-k16-s61071   1000   16  1800.0018   261.2156    2.1971   643.7529  0.0000  343.7636  115391   15102  3454567757
  del-n1000-k16-s61071   1000   16  1800.0016  1294.6754    1.9317   455.7206  0.0000  347.5092  115686   15122  1527730020
  del-n1000-k16-s61071   1000   16  1800.0017  1533.8806    0.5143   668.9603  0.0000  348.9102  114373   14763  2250323368
  del-n1000-k16-s61071   1000   16  1800.0022   817.9714    1.1134   503.7121  0.0000  344.6221  115300   15093  3470919966
  del-n1000-k16-s61071   1000   16  1800.0017   559.1239    1.5875   616.1560  0.0000  338.9901  115096   14890   326263922
  del-n1000-k16-s61071   1000   16  1800.0017  1047.8686    1.9650   578.6358  0.0000  345.0696  115488   14623  1375839083
  del-n1000-k16-s61071   1000   16  1800.0017   595.4133    1.2643   480.0815  0.0000  346.7705  115470   14839  3045615341
  del-n1000-k16-s61071   1000   16  1800.0018  1302.4065    0.3954   487.1333  0.0000  338.7305  114547   14917  3469641919
  del-n1000-k16-s61071   1000   16  1800.0017   433.9852    1.5801   768.8768  0.0000  336.0573  115127   15011  3690870734
    del-n1000-k16-s801   1000   16  1800.0016  1773.7877    1.6435   572.3829  0.0000  349.1045  115083   10772   823189109
    del-n1000-k16-s801   1000   16  1800.0015  1175.5512    2.3094   969.6470  0.0000  346.8175  114872   10784  4274392002
    del-n1000-k16-s801   1000   16  1800.0018  1231.1603    1.3610   735.6250  0.0000  356.8841  115627   10936  2137140804
    del-n1000-k16-s801   1000   16  1800.0017   834.2943    2.3679   477.2296  0.0000  358.0541  115588   10721  4261633225
    del-n1000-k16-s801   1000   16  1800.0018   689.2756    3.3743   514.9644  0.0000  352.5466  115488   10993  1225959534
    del-n1000-k16-s801   1000   16  1800.0016  1500.4911    1.5015   549.6236  0.0000  338.5096  115133   11096   295118521
    del-n1000-k16-s801   1000   16  1800.0018   312.9459    6.0373   673.8945  0.0000  353.5605  115510   10944   956530530
    del-n1000-k16-s801   1000   16  1800.0017  1170.2060    0.8407   728.7461  0.0000  355.3807  115266   11062  2115301677
    del-n1000-k16-s801   1000   16  1800.0045  1788.5605    1.3772   598.2695  0.0000  350.8462  115536   10843  2764620794
    del-n1000-k16-s801   1000   16  1800.0016   582.1260    1.9940   714.7906  0.0000  354.5249  115181   10852  2505212846
    del-n1000-k5-s2292   1000    5  1800.0017    30.9598    0.5448  1032.9043  0.0000  613.5288  120595  120367  1895882241
    del-n1000-k5-s2292   1000    5  1800.0029    87.6276    0.5063  1019.5994  0.0000  613.5288  120673  120418  2505285123
    del-n1000-k5-s2292   1000    5  1800.0020    47.1151    0.4134  1010.8020  0.0000  613.5288  120285  120030  1354365053
    del-n1000-k5-s2292   1000    5  1800.0015     7.4941    0.1135  1022.7052  0.0000  613.5288  119886  119650  1748675634
    del-n1000-k5-s2292   1000    5  1800.0041    59.1289    0.5465  1032.9043  0.0000  613.5288  121023  120779  3198115381
    del-n1000-k5-s2292   1000    5  1800.0016     7.1724    0.1864  1032.9043  0.0000  613.5288  120696  120466  3708669983
    del-n1000-k5-s2292   1000    5  1800.0016    65.7898    0.4814  1011.8280  0.0000  613.5288  120711  120479  4221519489
    del-n1000-k5-s2292   1000    5  1800.0035     2.2725    0.5032  1022.7052  0.0000  613.5288  120795  120556  3164989207
    del-n1000-k5-s2292   1000    5  1800.0022    37.7512    0.4814  1011.8280  0.0000  613.5288  120767  120546  1182927477
