              instance      n    k       time        ttb  cons_bal   cons_cmp  bal       cmp   repl   feas        seed
  del-n1000-k16-s51680   1000   16  1800.0005   1675.482    2.0645   791.4912    0  315.5233  12125   7033  2187050043
  del-n1000-k16-s51680   1000   16  1800.0002   688.9334    2.6422   561.7353    0  318.6412  12174   7129  4186980345
  del-n1000-k16-s51680   1000   16  1800.0003   116.6296    1.7912  1007.2651    0  316.2721  12043   6993  2429385828
  del-n1000-k16-s51680   1000   16  1800.0003  1262.7613    6.0075    565.029    0  313.7231  12090   7056  1395890989
  del-n1000-k16-s51680   1000   16  1800.0004    41.9516    1.9926   613.9319    0  317.5745  12102   7050   817647909
  del-n1000-k16-s51680   1000   16  1800.0004  1369.7619    1.9581  1001.7895    0   321.204  12121   7055   486450744
  del-n1000-k16-s51680   1000   16  1800.0003   360.5736    5.2563   576.5351    0  315.0407  11955   7019  3601540619
  del-n1000-k16-s51680   1000   16   1800.004  1722.4331    2.9988   823.3543    0  317.5866  12235   7202  1320230183
  del-n1000-k16-s61071   1000   16  1800.0003    57.4629    3.2301   722.7091    0  338.2708  10186   3370   108252523
  del-n1000-k16-s61071   1000   16  1800.0002   1683.396     3.285    959.861    0  338.3567  10136   3398  3092646101
  del-n1000-k16-s61071   1000   16  1800.0003   790.1478    3.6298   721.5494    0  338.7818  10171   3374   642676709
  del-n1000-k16-s61071   1000   16  1800.0004   604.1795    3.2566   633.9059    0  336.7169  10179   3538  1148273044
  del-n1000-k16-s61071   1000   16  1800.0004  1729.7558    2.3085   649.9887    0  338.7305  10189   3439   251114089
  del-n1000-k16-s61071   1000   16  1800.0004   739.5917    2.6651   602.3361    0    337.17  10145   3493  3666576175
  del-n1000-k16-s61071   1000   16  1800.0002  1265.4622    0.9866   442.1647    0  339.2321  10146   3423   797082150
  del-n1000-k16-s61071   1000   16  1800.0003  1725.9053    2.4663     737.16    0   337.649  10155   3398  2436465154
  del-n1000-k16-s61071   1000   16  1800.0004   650.8675    3.0468   997.6416    0  335.9552  10115   3344  3593832820
  del-n1000-k16-s61071   1000   16  1800.0003  1418.4058    2.3382   707.9905    0  338.8661  10165   3432  2721856661
    del-n1000-k16-s801   1000   16  1800.0002   1534.416    2.9086   468.8733    0  335.2467  10383   3384  1306537746
    del-n1000-k16-s801   1000   16  1800.0002    763.532     0.785   572.0943    0  343.0313  10385   3397   428764673
    del-n1000-k16-s801   1000   16  1800.0004   1288.162    1.1583   628.3911    0  347.4627  10438   3366  2646915918
    del-n1000-k16-s801   1000   16  1800.0004  1158.1511    3.6919   615.5524    0   341.028  10377   3410  2770727457
    del-n1000-k16-s801   1000   16  1800.0004   915.6113    3.7535   653.7063    0  337.6248  10281   3228  2590511354
    del-n1000-k16-s801   1000   16  1800.0003   351.8355    5.8369   614.2749    0  340.6395  10357   3300  3695176023
    del-n1000-k16-s801   1000   16  1800.0004   581.3076    3.2707   662.1754    0  342.0352  10394   3383  3408357915
    del-n1000-k16-s801   1000   16  1800.0003   727.6671    2.8579   676.5615    0   337.704  10356   3314  1509667406
    del-n1000-k16-s801   1000   16  1800.0003  1198.9721    1.7196   718.6063    0  345.2172  10386   3339  3725213585
    del-n1000-k16-s801   1000   16  1800.0002   195.8684    0.8156   519.0972    0  353.9775  10364   3358  2052204614
  del-n2500-k12-s12455   2500   12  1800.0137   674.3837    0.8331   595.9196    0  377.1048  15767  15724  1468338190
  del-n2500-k12-s12455   2500   12  1800.0004   513.0058    0.7847     494.37    0  378.3852  15336  15304   654076360
  del-n2500-k12-s12455   2500   12  1800.0007   194.4057    1.3885   741.2033    0  378.3852  15512  15473   489119777
  del-n2500-k12-s12455   2500   12  1800.0006   205.4449    1.7513   609.8852    0  377.9037  15310  15275  2280516686
  del-n2500-k12-s12455   2500   12  1800.0003  1212.4804    1.8332   492.5826    0  377.1048  15596  15567  2727260894
  del-n2500-k12-s12455   2500   12  1800.0004   343.5584    0.9282   596.7114    0  374.2157  15466  15432  3351271984
  del-n2500-k12-s12455   2500   12  1800.0006  1605.7319    1.7772   543.1857    0  374.2157  15522  15491  3741741485
  del-n2500-k12-s12455   2500   12  1800.0004    107.569    1.5109   571.3869    0  377.1048  15608  15570  1637594452
  del-n2500-k12-s12455   2500   12  1800.0038   709.8987    0.9891   604.0101    0  374.2157  15549  15514  2877233975
  del-n2500-k12-s12455   2500   12  1800.0005   234.7322     0.228    600.724    0  374.2157  15169  15137  1223702397
  del-n2500-k12-s21271   2500   12  1800.0004   1235.033    1.2018   589.5504    0  375.0995  11341  11089  1470198873
  del-n2500-k12-s21271   2500   12  1800.0004   935.9252    1.4111   1007.357    0  372.0313  11382  11122   221916840
  del-n2500-k12-s21271   2500   12  1800.0003  1002.4824    0.2411   708.4868    0  373.3486  11320  11072  3397987460
  del-n2500-k12-s21271   2500   12  1800.0004   320.5214    1.8446   657.2836    0  372.0313  11452  11198  1829411465
  del-n2500-k12-s21271   2500   12  1800.0003  1046.7418    2.3276   564.2011    0  372.0313  11392  11151  2581992395
  del-n2500-k12-s21271   2500   12  1800.0005  1055.4069    1.3439   547.6694    0  373.3486  11456  11223  2219454234
  del-n2500-k12-s21271   2500   12  1800.0078   611.7974    1.2849   590.9678    0  372.0313  11601  11372  1029733990
  del-n2500-k12-s21271   2500   12  1800.0005    42.9767    0.5625    549.035    0  374.4242  11458  11195   302765532
  del-n2500-k12-s21271   2500   12  1800.0087    160.204     0.967   625.2296    0  373.8768  11549  11338  3916433161
  del-n2500-k12-s21271   2500   12  1800.0005   923.4771    0.3701   511.2925    0  375.5448  11712  11486  4237442739
  del-n2500-k12-s48959   2500   12  1800.0006   466.0023    1.5702   647.9154    0  379.1671  14932  14793  1103168081
  del-n2500-k12-s48959   2500   12  1800.0051   268.0469     2.657   678.2431    0  378.5469  15305  15139  2395392178
  del-n2500-k12-s48959   2500   12  1800.0154  1194.7199     1.179   519.7729    0  377.1248  14882  14724  3028353019
  del-n2500-k12-s48959   2500   12  1800.0036  1136.5173    1.0781     670.73    0  377.0083  15289  15137  4046005744
  del-n2500-k12-s48959   2500   12  1800.0004  1300.0439    0.5872   525.2578    0  377.8655  14899  14748  2417589619
  del-n2500-k12-s48959   2500   12  1800.0005  1495.9469    0.9757   553.5716    0  378.0968  15110  14947  2780263565
  del-n2500-k12-s48959   2500   12  1800.0006  1769.9673     0.241   698.4019    0   375.902  15033  14874  3084251180
  del-n2500-k12-s48959   2500   12  1800.0004  1082.0199    0.6474   618.0209    0    378.73  15213  15056  2317071273
  del-n2500-k12-s48959   2500   12  1800.0006  1398.7329    0.0657   670.0644    0    378.73  14914  14761  3063630901
  del-n2500-k12-s48959   2500   12  1800.0004   267.7056    1.8314   521.1456    0  377.0083  14972  14803  1047664105
  del-n2500-k12-s57389   2500   12  1800.0004   559.1261    1.2953   641.6459    0  376.3724  10528  10291  2634968212
  del-n2500-k12-s57389   2500   12  1800.0209   461.3465    0.1253   619.9226    0  377.7099  10310  10048  1441066089
